feature,importance
price_vs_sma50,0.07682499
daily_range,0.061098862
macd_positive,0.057925038
price_vs_ema50,0.04828322
macd_signal_diff,0.043553986
return_20d,0.043073725
ema_26,0.042121805
macd_signal,0.040453702
price_vs_ema200,0.038987502
ema_200,0.038706943
macd_histogram,0.038058467
range_20d,0.037963443
market_cap,0.036657862
ema_50,0.033364
ema_12,0.03334602
return_5d,0.03222815
macd_line,0.03173684
volatility_20d,0.031294513
volume,0.030856753
close,0.029593678
vwap,0.028591625
low,0.028488271
price_vs_sma20,0.02818853
high,0.02752082
volume_ratio_20d,0.026940823
open,0.019858738
return_1d,0.014281668
pe_ratio,0.0
quick_ratio,0.0
enterprise_value,0.0
free_cash_flow,0.0
eps,0.0
dividend_yield,0.0
debt_to_equity,0.0
cash_ratio,0.0
current_ratio,0.0
pb_ratio,0.0
roa,0.0
roe,0.0
ev_to_sales,0.0
ev_to_ebitda,0.0
p_fcf_ratio,0.0
pcf_ratio,0.0
ps_ratio,0.0
average_volume,0.0
