feature,importance
daily_range,0.061213586
price_vs_ema50,0.056482498
macd_positive,0.053003706
range_20d,0.04894453
market_cap,0.044839215
ema_200,0.041266583
price_vs_ema200,0.041016392
price_vs_sma50,0.040962458
ema_26,0.040870976
volume,0.040162273
macd_signal_diff,0.037932355
ema_12,0.037901275
macd_histogram,0.03700884
return_20d,0.03689791
macd_signal,0.03598835
ema_50,0.03571569
macd_line,0.033218537
low,0.03260158
close,0.03202364
volatility_20d,0.03118676
volume_ratio_20d,0.030365953
vwap,0.030119559
return_5d,0.028644498
high,0.027781127
price_vs_sma20,0.026085408
open,0.021118362
return_1d,0.016648043
pe_ratio,0.0
quick_ratio,0.0
enterprise_value,0.0
free_cash_flow,0.0
eps,0.0
dividend_yield,0.0
debt_to_equity,0.0
cash_ratio,0.0
current_ratio,0.0
pb_ratio,0.0
roa,0.0
roe,0.0
ev_to_sales,0.0
ev_to_ebitda,0.0
p_fcf_ratio,0.0
pcf_ratio,0.0
ps_ratio,0.0
average_volume,0.0
