feature,importance
low,0.1667329
close,0.060496725
daily_range,0.052319635
vwap,0.04582658
macd_positive,0.04465158
range_20d,0.043567605
market_cap,0.04241386
price_vs_ema200,0.042126462
price_vs_ema50,0.037803378
ema_50,0.035610043
price_vs_sma50,0.035473537
volume,0.0328227
ema_200,0.031703487
macd_signal_diff,0.029400198
return_20d,0.02896023
ema_26,0.028847253
macd_histogram,0.028128855
macd_signal,0.028104791
ema_12,0.027785074
macd_line,0.02731455
volatility_20d,0.022281433
return_5d,0.02079768
volume_ratio_20d,0.020528939
high,0.019970452
price_vs_sma20,0.018626876
open,0.016547885
return_1d,0.011157267
pe_ratio,0.0
quick_ratio,0.0
enterprise_value,0.0
free_cash_flow,0.0
eps,0.0
dividend_yield,0.0
debt_to_equity,0.0
cash_ratio,0.0
current_ratio,0.0
pb_ratio,0.0
roa,0.0
roe,0.0
ev_to_sales,0.0
ev_to_ebitda,0.0
p_fcf_ratio,0.0
pcf_ratio,0.0
ps_ratio,0.0
average_volume,0.0
