feature,importance
daily_range,0.067198254
price_vs_ema50,0.05917515
range_20d,0.049606323
market_cap,0.046374533
price_vs_sma50,0.044144377
price_vs_ema200,0.04233302
volume,0.041470833
ema_26,0.041378014
macd_positive,0.040112536
ema_200,0.03916249
return_20d,0.037397645
ema_12,0.037130963
macd_histogram,0.036678657
macd_signal_diff,0.036018744
macd_signal,0.035413302
ema_50,0.03413575
low,0.033100825
macd_line,0.03294867
close,0.03226501
volume_ratio_20d,0.030829476
volatility_20d,0.030777879
return_5d,0.029673144
vwap,0.029549018
high,0.028532159
price_vs_sma20,0.026174705
open,0.021727646
return_1d,0.0166909
pe_ratio,0.0
quick_ratio,0.0
enterprise_value,0.0
free_cash_flow,0.0
eps,0.0
dividend_yield,0.0
debt_to_equity,0.0
cash_ratio,0.0
current_ratio,0.0
pb_ratio,0.0
roa,0.0
roe,0.0
ev_to_sales,0.0
ev_to_ebitda,0.0
p_fcf_ratio,0.0
pcf_ratio,0.0
ps_ratio,0.0
average_volume,0.0
